first_name	last_name	sessioon	sessiooniettepanek	contribution_type (registreerimisvormil)	tasu laekunud	vastas piletite küsimusele	ajasoovid	contribution_title	contribution_coauthors	contribution_abstract
Piotr	Zenczykowski	talkStandardModel		talkStandardModel	Yes	Coming	(leaving flight Aug 9 17:55)	From Clifford Algebra of Nonrelativistic Phase Space to Quarks and Leptons of the Standard Model		The talk will review a Clifford-algebra-related approach to elementary particles recently presented in my book "Elementary Particles and Emergent Phase Space" (World Scientific). The proposed scheme succesfully explains several features of a single generation of elementary particles (as defined in the Standard Model). The review will contain several interrelated parts: 1) BACKGROUND: a) a philosophical background motivating a maximally symmetric treatment of position and momentum variables (whence phase space), b) an analysis of what current theory and phenomenology really tell us about the concept of quark mass (i.e. the minimal assumptions needed in quark mass extraction procedures) 2) CLIFFORD ALGEBRA of NONRELATIVISTIC PHASE SPACE c) an introduction of a novel variation on Born's reciprocity idea which provides a new possible view on the problem of mass, d) a presentation of author's original approach to space quantization based on Dirac-like linearization of nonrelativistic quadratic form p^2+x^2 (with momentum and position satisfying standard commutation relations), which leads to the emergence of internal quantum numbers naturally identifiable with isospin and colour, 3) CONNECTION TO CURRENT MODELS OF ELEMENTARY PARTICLES e) a comparison of the resulting Clifford-algebra-based explanation of a single generation of elementary particles with that provided by the celebrated Harari-Shupe rishon (subquark) model. f) a discussion of how the additivity of momenta may be generalized and used in the construction of hadrons as composite systems of quarks, together with a proposal for a restoration of special relativity at the colourless hadronic level. 
Jose G.	Vargas	talkStandardModel		talkStandardModel	(Waived)	Coming	(leaving in late afternoon Aug 9 or Aug 10)	2. U(1) x SU(2) x SU(3) from the Tangent Bundle		2. In this paper, we revisit E. Kaehler's treatment of Poincare symmetry as it reflects itself in members of the left ideals ---in the Clifford algebra of scalar-valued differential forms--- generated by primitive idempotents for time translation and third component of angular momentum symmetry (read rest mass and spin). We replace that algebra with a Clifford algebra of Clifford-valued differential forms that makes the unit imaginary unnecessary. It has a commutative subalgebra of ``mirror elements'', i.e. where the valuedness is dual to the differential form and where even the idempotents for components of angular momentum commute. In Kaehler's treatment, total angular momentum is a differential 2−form operator (not a vector operator!). One need not first square it before using it. Of course, one reproduces standard results from repeated application of the operator. Additional subtleties and enhanced computational power follow from reproducing his treatmen in the commutative subalgebra. The so enriched theory of angular momentum and of primitive idempotents becomes the foundation for an interplay of all three components of angular momentum and time and space translations. The expansion of the set of primitive idempotents uncovers an algebraic representation of quarks, which does not mean, however, similar behavior for the new members of that set. Quarks are "different type particles". An algebraic stoichiometry of fundamental particles emerges in that commutative algebra. It includes neutron decay and pair creation-annihilation. The geometric nature of the algebras involved makes obvious why there are only three generations with two flavors each, only three colors and why the triple of electron, muon and tau are respectively associated with the three generations.
										
		notComing	11				repliedRows	78		
		nothing	22				ComingRows	67		
		talkProbablyNotComing	5							
		talkPlenary	13							
		talkGeometry	4							
		talkTernary	3							
		talkAlgebra	4							
		talkPhysics	8							
		talkAnalysis	19							
		talkStandardModel	9							
		talkGACurriculum	6							
		talkFourierAndWavelets	3							
		talkFromSignalsToConsciousness	8							
		talkConformal	3							
		kokku (kontrollsumma)	118							
		kokku ettekandeid	80							
		kokku paralleelsessioonides ettekandeid	63							
